,Ticker,Datapoints
0,AA,2767
1,AAPL,2767
2,ABBV,2767
3,ABT,2767
4,ACE,195
5,ACN,2767
6,ADBE,2767
7,ADI,2767
8,ADM,2767
9,ADP,2767
10,ADS,0
11,ADSK,2767
12,ADT,1748
13,AEE,2767
14,AEP,2767
15,AES,2767
16,AET,0
17,AFL,2767
18,AGN,0
19,AIG,2767
20,AIV,2767
21,AIZ,2767
22,AKAM,2767
23,ALL,2767
24,ALLE,2767
25,ALTR,1801
26,ALXN,0
27,AMAT,2767
28,AME,2767
29,AMGN,2767
30,AMP,2767
31,AMT,2767
32,AMZN,2767
33,AN,2767
34,ANDV,0
35,AON,2767
36,APA,2767
37,APC,0
38,APD,2767
39,APH,2767
40,APTV,2767
41,ARG,0
42,ATI,2767
43,AVB,2767
44,AVP,0
45,AVY,2767
46,AXP,2767
47,AZO,2767
48,BA,2767
49,BAC,2767
50,BALL,2767
51,BAX,2767
52,BBBY,0
53,BBWI,2767
54,BBY,2767
55,BCR,0
56,BDX,2767
57,BEAM,1233
58,BEN,2767
59,BF.B,0
60,BIIB,2767
61,BK,2767
62,BKNG,2767
63,BLK,2767
64,BMS,0
65,BMY,2767
66,BRCM,0
67,BRK.B,0
68,BSX,2767
69,BTU,1949
70,BWA,2767
71,BXP,2767
72,C,2767
73,CA,259
74,CAG,2767
75,CAH,2767
76,CAM,0
77,CAT,2767
78,CB,2767
79,CBRE,2767
80,CCE,138
81,CCI,2767
82,CCL,2767
83,CELG,0
84,CERN,0
85,CF,2767
86,CFN,0
87,CHK,0
88,CHRW,2767
89,CI,2767
90,CINF,2767
91,CL,2767
92,CLF,2767
93,CLX,2767
94,CMA,2767
95,CMCSA,2767
96,CMCSK,0
97,CME,2767
98,CMG,2767
99,CMI,2767
100,CMS,2767
101,CNP,2767
102,CNX,2767
103,COF,2767
104,COL,1712
105,COP,2767
106,COR,2767
107,COST,2767
108,COV,2048
109,CPB,2767
110,CPRI,2767
111,CRM,2767
112,CSC,1930
113,CSCO,2767
114,CSX,2767
115,CTAS,2767
116,CTRA,2767
117,CTSH,2767
118,CTXS,0
119,CVC,0
120,CVS,2767
121,CVX,2767
122,CXO,0
123,DAL,2767
124,DD,2767
125,DE,2767
126,DFS,2767
127,DG,2767
128,DGX,2767
129,DHI,2767
130,DHR,2767
131,DIS,2767
132,DLTR,2767
133,DNB,1132
134,DNR,0
135,DO,0
136,DOC,2767
137,DOV,2767
138,DOW,1456
139,DPS,0
140,DRI,2767
141,DTE,2767
142,DTV,0
143,DUK,2767
144,DVA,2767
145,DVN,2767
146,EA,2767
147,EBAY,2767
148,ECL,2767
149,ED,2767
150,EFX,2767
151,EIX,2767
152,EL,2767
153,ELV,2767
154,EMC,409
155,EMN,2767
156,EMR,2767
157,EOG,2767
158,EQR,2767
159,EQT,2767
160,ES,2767
161,ESRX,1252
162,ESV,0
163,ETFC,0
164,ETN,2767
165,ETR,0
166,EW,2767
167,EXC,2767
168,EXPD,2767
169,EXPE,2767
170,F,2767
171,FAST,2767
172,FCX,2767
173,FDO,0
174,FDX,2767
175,FE,2767
176,FFIV,2767
177,FI,2767
178,FIS,2767
179,FITB,2767
180,FLIR,0
181,FLR,2767
182,FLS,2767
183,FMC,2767
184,FOSL,2767
185,FRX,0
186,FSLR,2767
187,FTI,2767
188,FTR,0
189,GAS,2044
190,GD,2767
191,GE,2767
192,GEN,2767
193,GGP,0
194,GHC,2767
195,GILD,2767
196,GIS,2767
197,GL,2767
198,GLW,2767
199,GM,2767
200,GME,2767
201,GNW,2767
202,GOOG,2767
203,GPC,2767
204,GPS,0
205,GRMN,2767
206,GS,2767
207,GT,2767
208,GWW,2767
209,HAL,2767
210,HAR,2044
211,HAS,2767
212,HBAN,2767
213,HCBK,0
214,HD,2767
215,HES,2767
216,HIG,2767
217,HOG,2767
218,HON,2767
219,HOT,0
220,HP,2767
221,HPQ,2767
222,HRB,2767
223,HRL,2767
224,HSP,0
225,HST,2767
226,HSY,2767
227,HUM,2767
228,IBM,2767
229,ICE,2767
230,IFF,2767
231,IGT,2767
232,INTC,2767
233,INTU,2767
234,IP,2767
235,IPG,2767
236,IRM,2767
237,ISRG,2767
238,ITW,2767
239,IVZ,2767
240,J,2767
241,JBL,2767
242,JCI,2767
243,JEF,2767
244,JNJ,2767
245,JNPR,2767
246,JOY,0
247,JPM,2767
248,JWN,2767
249,K,2767
250,KEY,2767
251,KIM,2767
252,KLAC,2767
253,KMB,2767
254,KMI,2767
255,KMX,2767
256,KO,2767
257,KR,2767
258,KRFT,0
259,KSS,2767
260,KSU,0
261,L,2767
262,LEG,2767
263,LEN,0
264,LH,2767
265,LHX,2767
266,LIFE,0
267,LIN,2767
268,LLL,0
269,LLTC,0
270,LLY,2767
271,LM,0
272,LMT,2767
273,LNC,2767
274,LO,0
275,LOW,2767
276,LRCX,2767
277,LSI,0
278,LUMN,2767
279,LUV,2767
280,LYB,2767
281,M,2767
282,MA,2767
283,MAC,2767
284,MAR,2767
