Date,Close,High,Low,Open,Volume,Ticker
2014-01-02,104.95345306396484,106.22371726170014,104.74724146614571,105.6628277569875,806800,PH
2014-01-03,104.96167755126953,105.95974697787699,104.70597724646169,105.20913392520274,683300,PH
2014-01-06,103.80689239501953,105.71229138499844,103.79864217100693,105.39059557927762,945300,PH
2014-01-07,105.2751235961914,105.61330728299586,104.4337831983435,104.63999475883418,765000,PH
2014-01-08,105.31636047363281,105.62979975640461,104.22756376817449,104.98642074314428,895100,PH
2014-01-09,104.6977310180664,105.98449540131777,104.19457432012351,105.31636568343123,749700,PH
2014-01-10,104.92044067382812,105.7205425446775,104.12858902755546,105.7205425446775,1036300,PH
2014-01-13,103.6171875,105.39885211572665,103.32024234853264,104.2770607197561,1189500,PH
2014-01-14,105.38237762451172,105.62158383522366,103.91415204221238,104.31832501537735,947800,PH
2014-01-15,106.3721923828125,106.43816901595551,105.58033433737327,105.69581232460851,758300,PH
2014-01-16,106.54537200927734,106.61136120933908,105.671037134227,105.76177071104279,861600,PH
2014-01-17,105.11013793945312,106.73507945735622,105.01940436572804,106.61135757780045,1531200,PH
2014-01-21,104.60700225830078,106.38042297281088,103.97187340816707,105.89376670094028,1790100,PH
2014-01-22,100.97767639160156,102.69335810154836,100.2435637327154,101.88500600777887,2854700,PH
2014-01-23,97.95047760009766,100.14457131901658,97.75251629164099,99.74039218569371,2042600,PH
2014-01-24,94.55211639404297,97.80201239298533,94.55211639404297,97.67004027512516,1642900,PH
2014-01-27,94.34590148925781,95.66566037935506,93.1911219000379,95.30272605527064,1861700,PH
2014-01-28,95.04704284667969,96.0121115167709,94.543886095317,94.70885283969778,2823200,PH
2014-01-29,94.03247833251953,95.66567677777545,93.94999496101886,94.37066833667352,1085700,PH
2014-01-30,94.48614501953125,94.8903179394959,94.1809496267788,94.5108894013343,1320900,PH
2014-01-31,93.51282501220703,94.24693769782813,92.3332945802971,94.24693769782813,1122400,PH
2014-02-03,90.22991943359375,93.79325453362141,90.00721374306306,93.38083146050211,2473700,PH
2014-02-04,91.46719360351562,92.11882284948206,89.62779012197076,90.62585325776935,1795500,PH
2014-02-05,92.8941879272461,93.1086434235083,90.90630542295328,91.64866831445428,1705900,PH
2014-02-06,94.66692352294922,94.7414807401242,92.72023881692023,92.72023881692023,1637200,PH
2014-02-07,98.30347442626953,98.60169058316838,95.04795331346835,95.20534692961316,3005200,PH
2014-02-10,95.74380493164062,98.01355589915943,95.53671070380095,97.98870560302095,1727700,PH
2014-02-11,96.51422882080078,96.70475203656346,95.24681272284256,96.0172037674861,1575900,PH
2014-02-12,97.09403228759766,97.46680559475497,96.35677752990253,96.62185782120851,760400,PH
2014-02-13,96.7212905883789,97.60765363667535,95.23849514870271,95.23849514870271,1131600,PH
2014-02-14,97.62420654296875,97.97212328903294,96.46447773607457,96.94493780636144,890500,PH
2014-02-18,97.64907836914062,98.46089060898571,97.30944708595065,97.96386567357736,946100,PH
2014-02-19,96.71299743652344,98.50229446981221,96.66329684782558,97.40883095834874,1207300,PH
2014-02-20,97.57452392578125,98.14610605673076,96.7295758782894,96.77099725474055,1304500,PH
2014-02-21,97.55794525146484,98.36975739859211,97.50824465960484,97.87273251994944,871400,PH
2014-02-24,98.27861785888672,98.9413217919121,97.70703587465265,97.70703587465265,1291300,PH
2014-02-25,97.58280944824219,98.38632979912956,97.2514573967342,98.24550723124345,1175300,PH
2014-02-26,98.552001953125,98.94134011186618,97.23487938036256,97.79817593173006,1237000,PH
2014-02-27,99.54603576660156,99.80283686505817,98.32004167595595,98.53541508754762,872000,PH
2014-02-28,99.86083221435547,100.70577382409337,99.22297849797236,99.35552182813493,945500,PH
2014-03-03,98.89994049072266,99.76973896517451,98.37806519806092,98.57687393050125,975100,PH
2014-03-04,100.3412857055664,101.11996196805936,99.9850834067679,100.37442153801437,895900,PH
2014-03-05,100.98745727539062,101.03715787996043,99.99340094388363,100.59811901955158,626400,PH
2014-03-06,101.43476867675781,101.7661207654396,101.0123009257036,101.36021777481251,873700,PH
2014-03-07,103.03351593017578,103.83704252956923,101.93177946298007,102.04775172268488,1653200,PH
2014-03-10,102.07260131835938,103.12463718704262,101.45131865133806,102.87612791224255,695600,PH
2014-03-11,100.02650451660156,102.31282638944204,99.62888084827608,102.13886800955395,1162000,PH
2014-03-12,98.82537078857422,99.69516277756803,98.10468058053839,99.5294899187162,1130400,PH
2014-03-13,96.7626953125,99.42178417352343,96.18283406056852,99.23126104218036,1056100,PH
2014-03-14,96.24909973144531,97.44195799258507,96.19939282722177,96.64671704515415,1024900,PH
2014-03-17,99.26441192626953,99.55434259620063,97.24317013586773,97.27630597243336,1366400,PH
2014-03-18,99.30582427978516,99.85255608821936,98.60999069088464,99.25612368629639,921300,PH
2014-03-19,99.12358856201172,100.16733896535179,98.32006191181095,99.33896201793073,770700,PH
2014-03-20,98.76738739013672,99.93539561340918,98.47745039909805,98.82537352434153,620300,PH
2014-03-21,98.89163208007812,100.77205118291894,98.71767368942128,100.44898469741135,1459300,PH
